time,peak
442,0.7879247200246486
565,0.7659784307810422
687,0.7459829003539246
809,0.7454535385621895
932,0.7346056627613312
1054,0.7211715919474166
1176,0.7084052847677327
1299,0.7079991713320887
1421,0.6934649574051982
1543,0.7122088098552938
1666,0.6874813507402248
1788,0.7086719861284541
1910,0.6889451775269116
2033,0.6989090999541668
2155,0.7079961406348076
2277,0.6890007403103954
2400,0.7144090960812454
2522,0.7119451391918533
2644,0.7060160850779365
2767,0.7076203341719729
2889,0.7205412069129842
3012,0.7036541616636689
