time,peak
381,0.9325965891206011
504,0.9252034655281549
626,0.9145301082612934
748,0.8880854738729288
871,0.8854987204705734
993,0.8645251415157617
1116,0.856935251894565
1238,0.8603186677547887
1360,0.8464346647992895
1483,0.8495457276806937
1605,0.8297335482126538
1727,0.8401429510507035
1850,0.809483444351358
1972,0.8352825901819922
2094,0.8383600588633657
2217,0.8161998847717593
2339,0.7872956750240121
2461,0.8073298161708256
2584,0.796620465118217
2706,0.8217753221839789
2828,0.7986637123557918
2951,0.8067443172560067
