time,peak
442,0.9774779548314638
565,0.9745318937598565
687,0.9701406510232023
809,0.9677158020276415
932,0.9632815188999776
1054,0.9638857561562473
1176,0.9565828998588128
1299,0.9572109100170163
1421,0.9556659653530062
1543,0.9538204098643654
1666,0.9562307567498296
1788,0.953981243904598
1910,0.9529569353916884
2033,0.952874421144881
2155,0.9540078944315218
2277,0.9514417588483197
2400,0.9499050921055372
2522,0.9496192473566031
2644,0.9490421365652335
2767,0.9514050896270243
2889,0.9483610543233428
3012,0.9458535710966111
