time,peak
436,0.9866414146011296
588,0.9868279937335938
740,0.9816693656834707
892,0.9802628069808003
1043,0.9731409147486011
1195,0.9727347945291894
1347,0.9718075414457009
1499,0.97190323860039
1651,0.9673736853617986
1803,0.9636392105838949
1955,0.9643779973784904
2106,0.96138703956505
2258,0.9603866577531552
2410,0.9592255805098872
2562,0.9587961608035941
2714,0.9570476414220057
2866,0.957378849654083
3017,0.9542471787322978
3169,0.9568220723909491
3321,0.9521466130580035
3473,0.9523838110530003
3625,0.950184467190848
3777,0.9502107815943068
3929,0.9457530800893809
4080,0.9494081771764488
4232,0.9461348788483089
4384,0.9492417466030146
4536,0.9507172970245024
4688,0.9491789377300355
4840,0.9459275712198539
4992,0.9473300722528453
5143,0.9464924411538003
5295,0.9483636521499077
5447,0.9487475628616762
5599,0.9440011793163928
5751,0.9475068264597969
