time,peak
436,0.7078931244230342
588,0.5914398464655866
740,0.5169253816536121
892,0.44677061420413844
1043,0.39443668059481385
1195,0.34303897530708993
1347,0.30396242116733563
1499,0.2663552009694555
1651,0.2414740111468039
1803,0.21458950349903863
1955,0.19266279029352074
2106,0.1719199755659744
2258,0.14977194009306138
2410,0.13321492666077656
2562,0.11913900610703004
2714,0.10321258548422854
2866,0.09512114877981319
3017,0.08301253726958027
3169,0.07601005881652756
3321,0.0680879512119288
3473,0.0601980758581769
3625,0.05150494119585474
3777,0.04731123553390055
3929,0.042764555985969545
4080,0.035493153412772226
4232,0.03225552481544704
4384,0.032370225958787587
4536,0.029051358037120906
4688,0.025143351317959087
4840,0.02152622529308827
4992,0.01958315630743221
5143,0.018349460319296768
5295,0.015511002239952299
5447,0.013944883719240957
5599,0.012181331683805563
5751,0.01094500090677251
