time,peak
442,0.7999115516821574
565,0.7742045982843123
687,0.7417237915878985
809,0.7295051506444261
932,0.7322450706073659
1054,0.6959941963571131
1176,0.6983417255080184
1299,0.6870441806146318
1421,0.6852905928913714
1543,0.6492587953972173
1666,0.6635893362694802
1788,0.6695725658971508
1910,0.6738323917101791
2033,0.6699883248965023
2155,0.6604297626093026
2277,0.6670741172031552
2400,0.6521963712778815
2522,0.6722569864152121
2644,0.6624121638333771
2767,0.6592847214307607
2889,0.656686957940667
3012,0.6705131354366675
