time,peak
465,0.6992348541543617
617,0.6064030204215045
769,0.5225568126815175
921,0.4634166139537112
1073,0.40926723967486495
1224,0.3594678794096509
1376,0.3198224193153631
1528,0.28745613736945136
1680,0.25047030832986694
1832,0.22224519688523822
1984,0.19970526994344853
2135,0.18311202814175576
2287,0.16151992944832005
2439,0.14516676843646453
2591,0.12610310423228213
2743,0.11237744450399931
2894,0.0998450487757629
3046,0.08948052010520245
3198,0.07642476610499356
3350,0.0682997717316033
3502,0.06050562475149447
3654,0.05381683114764398
3806,0.047110098421579004
3957,0.040536079500156336
4109,0.03583210250790146
4261,0.03252764479647898
4413,0.02705389203755238
4565,0.025890794322623086
4717,0.02080313431344979
4868,0.018698991301849585
5020,0.016723010377314915
5172,0.013294853047039368
5324,0.014656352098700485
5476,0.011436502784588602
5628,0.009630274150860926
5779,0.009906947180041483
