time,peak_integral
625,47195.4
777,41684
929,37605.1
1081,33055.3
1233,29146.4
1385,26251.1
1536,22962.2
1688,20155.8
1840,18067.1
1992,16119.1
2144,14401.4
2295,12664.5
2447,11449.8
2599,10356.8
2751,9267.79
2903,8434.64
3054,7400.75
3206,6609.48
3358,5870
3510,5205.92
3662,4728.44
3814,4194.68
3965,3762.99
4117,3320.14
4269,2985.72
4421,2654.03
4573,2291.56
4725,1982.16
4876,1795.56
5028,1595.63
5180,1398.23
5332,1329.57
5484,1226.47
5635,1048.46
5787,967.429
