sequencing_run_name,sample_name,fq_dir,r1_file,r2_file,reaction_group,temperature,replicate,reaction_time,probe,probe_concentration,RT,treated,buffer,construct,done_by
230607_M05164_0144_000000000-L3FLD,083-EKC-WT-50c-a-5-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,083-EKC-WT-50c-a-5-p_S83_L001.sub5k_R1.fastq.gz,083-EKC-WT-50c-a-5-p_S83_L001.sub5k_R2.fastq.gz,52_1,52,1,900,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
230607_M05164_0144_000000000-L3FLD,084-EKC-WT-50c-a-6-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,084-EKC-WT-50c-a-6-p_S84_L001.sub5k_R1.fastq.gz,084-EKC-WT-50c-a-6-p_S84_L001.sub5k_R2.fastq.gz,52_1,52,1,1200,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,013-fourU-WT-70c-a-1-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,013-fourU-WT-70c-a-1-p_S13_L001.sub5k_R1.fastq.gz,013-fourU-WT-70c-a-1-p_S13_L001.sub5k_R2.fastq.gz,70_3,70,3,10,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,014-fourU-WT-70c-a-2-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,014-fourU-WT-70c-a-2-p_S14_L001.sub5k_R1.fastq.gz,014-fourU-WT-70c-a-2-p_S14_L001.sub5k_R2.fastq.gz,70_3,70,3,30,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,015-fourU-WT-70c-a-3-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,015-fourU-WT-70c-a-3-p_S15_L001.sub5k_R1.fastq.gz,015-fourU-WT-70c-a-3-p_S15_L001.sub5k_R2.fastq.gz,70_3,70,3,50,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,016-fourU-WT-70c-a-4-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,016-fourU-WT-70c-a-4-p_S16_L001.sub5k_R1.fastq.gz,016-fourU-WT-70c-a-4-p_S16_L001.sub5k_R2.fastq.gz,70_3,70,3,75,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,017-fourU-WT-70c-a-5-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,017-fourU-WT-70c-a-5-p_S17_L001.sub5k_R1.fastq.gz,017-fourU-WT-70c-a-5-p_S17_L001.sub5k_R2.fastq.gz,70_3,70,3,120,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,018-fourU-WT-70c-a-6-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,018-fourU-WT-70c-a-6-p_S18_L001.sub5k_R1.fastq.gz,018-fourU-WT-70c-a-6-p_S18_L001.sub5k_R2.fastq.gz,70_3,70,3,170,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,025-fourU-WT-75c-a-1-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,025-fourU-WT-75c-a-1-p_S25_L001.sub5k_R1.fastq.gz,025-fourU-WT-75c-a-1-p_S25_L001.sub5k_R2.fastq.gz,75_3,75,3,7,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
240405_M05164_0164_000000000-LH62L,026-fourU-WT-75c-a-2-p,/Volumes/MiniVault/LucksLab Dropbox/LucksLab/Group_Members/EKC/Projects/EKC.01_SHAPE_Standardization/Experiments/01.065.refactoring_data_analysis/demo_folder/demo_data/probe_data,026-fourU-WT-75c-a-2-p_S26_L001.sub5k_R1.fastq.gz,026-fourU-WT-75c-a-2-p_S26_L001.sub5k_R2.fastq.gz,75_3,75,3,20,dms,0.015852692,MRT,1,pH6.5_A,4U_wt,EKC
