time,peak_integral
685,175687
988,164500
1291,154356
1594,145734
1896,137190
2199,129181
2502,121719
2805,114198
3108,107388
3410,101017
3713,94713
4016,89504.1
4319,84087.5
4622,78810.2
4925,74357.7
5227,70117.5
5530,65520.6
5833,62009.3
6136,58427.2
6439,55121
6741,51715.4
7044,48949.8
7347,45861.5
7650,43330.5
7953,40694.3
8256,38329.6
8558,36219.8
8861,34196
9164,32206.1
9467,30331.6
9770,28496.7
10073,26860.8
10375,24910.7
10678,23702.6
10981,22433.8
11284,21019.6
11587,19896.3
11889,18773.3
12192,17612.1
12495,16467.3
12798,15755.8
13101,14782
13404,14001
13706,12806.5
14009,12441.6
14312,11522.6
14615,11002.7
14918,10276.3
15221,9696.22
15523,9076.71
15826,8639.45
16129,7848.5
16432,7771.74
16735,7186.03
17037,6685.9
17340,6519.54
17643,5923.52
17946,5570.78
18249,5182.77
18552,4978.26
18854,4914.45
19157,4550.51
19460,4134.42
19763,4074.76
20066,3701.12
20369,3531.69
20671,3272.14
20974,3222.74
21277,2964.25
21580,2981.99
21883,2555.91
22185,2393.97
22488,2429.65
22791,2250.55
23094,2023.65
23397,2036.39
23700,1771.28
24002,1790.89
24305,1607.88
24608,1643.57
24911,1522.46
25214,1252.93
25516,1423.57
25819,1153.73
26122,1200.53
26425,1081.38
26728,1015.68
27031,987.869
27333,862.169
27636,933.377
27939,796.463
28242,750.506
28545,628.292
28848,615.249
29150,656.866
29453,584.449
