time,peak
483,0.9784442882933008
635,0.9735663331520776
787,0.9644024181026281
939,0.9657916940006236
1090,0.9622738122394154
1242,0.9529535502549209
1394,0.9515339011420192
1546,0.947586967371083
1698,0.9477525548789892
1850,0.9488302763531841
2002,0.9415342142588259
2153,0.9412395183515383
2305,0.9356678375395173
2457,0.9406628215071186
2609,0.9419344892400107
2761,0.938648078540404
2913,0.9399386601201409
3065,0.9391851832321124
3216,0.9304837872203231
3368,0.9329930017987014
3520,0.9333315231180159
3672,0.9295090438054994
3824,0.928962893256435
3976,0.9330173268134728
4127,0.9321913676796303
4279,0.9275247509783355
4431,0.9298501300809128
4583,0.9309946509928453
4735,0.9277314210539302
4887,0.9285339277869317
5039,0.9287636752557281
5190,0.9294265589520699
5342,0.9266427089712234
5494,0.9294259627860791
5646,0.9289084522435357
5798,0.9316656430274445
