time,peak
433,0.984354430123483
585,0.9792195193937472
737,0.9813057640295862
889,0.9816522786149895
1040,0.970279962640904
1192,0.9715591793280094
1344,0.9694880592250334
1496,0.9645235165741011
1648,0.9607208103999234
1800,0.957349488411198
1951,0.9597270127319983
2103,0.9571620003190241
2255,0.9552058126369765
2407,0.9502303081464574
2559,0.955512739307879
2711,0.9511987329773868
2862,0.9487107098305309
3014,0.9490918320948414
3166,0.9474529935388549
3318,0.9445619607299789
3470,0.9494760068396373
3622,0.9506125599736731
3773,0.9435299272367693
3925,0.9523543604863083
4077,0.9432999487129928
4229,0.9516791261640984
4381,0.9460341415915231
4533,0.9446428224376637
4684,0.9401614787399746
4836,0.9454902800308576
4988,0.9434336918635035
5140,0.9453118526295688
5292,0.9449898909200803
5444,0.9445917357179121
5595,0.9463490235780482
5747,0.9450245469742728
5899,0.9394228703756168
6051,0.951228123381804
6203,0.9455027777857441
6355,0.9411937105718527
6506,0.9441498299079667
6658,0.9494506727028692
6810,0.9436651482522375
6962,0.9371519506704279
7114,0.936707952629405
7266,0.9444777708026845
7417,0.9398119068365577
7569,0.9445052915023354
7721,0.944722731152233
7873,0.9404588198481492
8025,0.948933226466592
8177,0.9426661236347652
8329,0.9349676977071267
8480,0.9372650714369319
8632,0.9354944150667793
8784,0.9508249492438143
8936,0.9381730731180998
9088,0.9425944048559504
9240,0.9338226014977551
9391,0.9401770604192813
9543,0.9403190152744251
9695,0.9505864542511093
9847,0.9371020612389809
9999,0.9396768938348153
10151,0.9384613051601041
10302,0.9435360829917888
10454,0.9459616778333191
10606,0.9370448550456738
10758,0.9417271666087094
10910,0.941887160607639
11062,0.9373391726985344
11213,0.9375423779208132
