time,peak
433,0.7002744611383747
585,0.6225488933898814
737,0.5488963080642322
889,0.4846368458934746
1040,0.42638518684264576
1192,0.3795637583430658
1344,0.3351405216119744
1496,0.2947643875364412
1648,0.2637542644786429
1800,0.23026707798062798
1951,0.2032892691399388
2103,0.18028585313243325
2255,0.15893134801199738
2407,0.1391481144767737
2559,0.12540226093837678
2711,0.1091263520553206
2862,0.09640373522061127
3014,0.08447821521830597
3166,0.07605447420374992
3318,0.06704856166224936
3470,0.05863332399980149
3622,0.05074307590229518
3773,0.04433955881686706
3925,0.039323443731934596
4077,0.035660470765090664
4229,0.03192318589504023
4381,0.028651983310109198
4533,0.02506960733281266
4684,0.020475702165600716
4836,0.019225462931720113
4988,0.015261545242437955
5140,0.013603761292298896
5292,0.012365229572190465
5444,0.012163576890238881
5595,0.009561994798281136
5747,0.009801222437591925
5899,0.0065666335615211
6051,0.007810649327554317
6203,0.004921986674204208
6355,0.005661248388573816
6506,0.003979630405134319
6658,0.004299036028236501
6810,0.004778920855908274
6962,0.004083568480033752
7114,0.003110131842823343
7266,0.003210606958385986
7417,0.0026341782750392605
7569,0.0016735459607860185
7721,0.002344904095277001
7873,0.001703443253850542
8025,0.0016623560423595471
8177,0.001252703973621995
8329,0.0012177120635117847
8480,0.00110616410466047
8632,0.0009527168025732626
8784,0.000798941690100556
8936,0.0001850773071899265
9088,5.0383593610996074e-05
9240,0.00044439873724346304
9391,0.0003270500134104633
9543,8.331325597948168e-05
9695,4.561050186457639e-05
9847,8.348135122985261e-05
9999,3.0285366336807446e-05
10151,5.613112021422142e-05
10302,7.109381576300143e-05
10454,0.00011403093766690827
10606,-3.563101712517971e-05
10758,1.3508622338276648e-05
10910,-9.362548058398211e-05
11062,8.158362486587758e-05
11213,-1.1408355986043106e-05
