time,peak_integral
184,3713.51
246,2214.31
307,1392.53
369,823.136
431,540.222
493,335.857
555,243.028
616,142.884
678,81.1671
740,47.6366
802,4.34424
864,1.46922
925,-0.369632
987,-0.568295
1049,0.0800577
