time,peak
404,0.9801371800435983
526,0.9632656395201693
648,0.9668022163124651
770,0.97199179831059
892,0.958255924525662
1014,0.9549193961133223
1136,0.9527153453420076
1257,0.9552258277161122
1379,0.9572771009881241
1501,0.9502700579691196
1623,0.9432726454210871
1745,0.9453920722334386
1867,0.9430542735786615
1989,0.9461441620986346
2110,0.9405997453366612
2232,0.9454688457149267
2354,0.9422733848309903
2476,0.9399863147733729
2598,0.9452219160561768
2720,0.9404757837649149
2842,0.9424633522628243
2963,0.9428216690932947
