time,peak
490,0.9747585481444658
612,0.9753048468064172
734,0.9742562648406056
856,0.9704648919021548
977,0.9613574267047046
1099,0.9648059653080993
1221,0.9648670434527091
1343,0.9572362416825687
1465,0.9573938176047678
1587,0.9499111275517165
1709,0.9541353524059012
1830,0.9562570440931458
1952,0.9596148351967752
2074,0.9489043835582447
2196,0.955329863754447
2318,0.9496137535671131
2440,0.9516992759078758
2562,0.9488476527622304
2683,0.9515704835407204
2805,0.9522722920827089
2927,0.9497337671108098
3049,0.9514581551790028
3171,0.9430537455717436
3293,0.9528729239420466
