time,peak_integral
191,20541.8
283,14549.1
375,10390.7
466,7492.29
558,5429.42
650,3862.92
742,2751.33
834,2061.03
925,1493.23
1017,1064.21
1109,796.673
1201,520.03
1293,443.668
1384,353.658
1476,239.842
1568,202.077
1660,105.551
1752,84.2226
