time,peak
780,0.2161982451970895
1054,0.47934239506554693
1177,0.11773538724161497
1300,0.09747452312028772
1423,0.08030220535891888
1546,0.06597135024871179
1670,0.05547029262485324
1793,0.04571048612738463
1917,0.03743318188269598
2040,0.03162671472597422
2163,0.02557316386045567
2287,0.021619824519708928
2410,0.01766648517896209
2533,0.014825022527800347
2656,0.012140964553327575
2780,0.009798030347219386
2903,0.007962828454317538
3026,0.006780174636347712
3150,0.005486197253379565
3273,0.0046289032631531895
3396,0.0034960491666912396
3520,0.002884479924863223
3643,0.002177264579359935
