time,peak_integral
312,21107.7
404,18007.5
496,15400
587,13103.5
679,11064.2
771,9453.18
863,8165.27
954,6958.69
1046,6118.18
1138,5288.45
1230,4620.37
1322,4110.35
1413,3665.56
1505,3096.67
1597,2745.73
1689,2392.56
1781,2094.04
1872,1863.24
1964,1665.05
2056,1504.62
2148,1271.58
2239,1135.93
2331,1074.03
2423,869.757
