time,peak_integral
403,14437.4
495,12235
587,10377.2
679,8794.68
771,7442.31
862,6331.64
954,5375.38
1046,4544.35
1138,3853.72
1230,3320.52
1322,2835.11
1413,2381.55
1505,2019.2
1597,1720.35
1689,1458.18
1781,1338.8
1872,1156.82
1964,975.089
2056,844.347
2148,706.677
2240,605.217
2332,515.365
2423,431.222
2515,361.072
2607,316.602
2699,260.766
2791,205.171
2882,159.061
2974,132.572
3066,144.195
