environment	name	version	build	license	url	sha256	md5
base	yaml	0.1.6	0	MIT	https://repo.continuum.io/pkgs/free/linux-64/yaml-0.1.6-0.tar.bz2		dac36570434ddc9e16e54709c114bd96
base	zlib	1.2.8	3	zlib (http://zlib.net/zlib_license.html)	https://repo.continuum.io/pkgs/free/linux-64/zlib-1.2.8-3.tar.bz2		60d5ea874984e4c750f187a26c827382
shapemapper_make	_libgcc_mutex	0.1	conda_forge	None	https://conda.anaconda.org/conda-forge/linux-64/_libgcc_mutex-0.1-conda_forge.tar.bz2	fe51de6107f9edc7aa4f786a70f4a883943bc9d39b3bb7307c04c41410990726	d7c89558ba9fa0495403155b64376d81
shapemapper_make	_openmp_mutex	4.5	2_gnu	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/_openmp_mutex-4.5-2_gnu.tar.bz2	fbe2c5e56a653bebb982eda4876a9178aedfc2b545f25d0ce9c4c0b508253d22	73aaf86a425cc6e73fcf236a5a46396d
shapemapper_make	alsa-lib	1.2.8	h166bdaf_0	LGPL-2.1-or-later	https://conda.anaconda.org/conda-forge/linux-64/alsa-lib-1.2.8-h166bdaf_0.tar.bz2	2c0a618d0fa695e4e01a30e7ff31094be540c52e9085cbd724edb132c65cf9cd	be733e69048951df1e4b4b7bb8c7666f
shapemapper_make	atk-1.0	2.38.0	hd4edc92_1	LGPL-2.0-or-later	https://conda.anaconda.org/conda-forge/linux-64/atk-1.0-2.38.0-hd4edc92_1.tar.bz2	2f9314de13c1f0b54510a2afa0cdc02c0e3f828fccfc4277734f9590b11a65f1	6c72ec3e660a51736913ef6ea68c454b
shapemapper_make	attr	2.5.1	h166bdaf_1	GPL-2.0-or-later	https://conda.anaconda.org/conda-forge/linux-64/attr-2.5.1-h166bdaf_1.tar.bz2	82c13b1772c21fc4a17441734de471d3aabf82b61db9b11f4a1bd04a9c4ac324	d9c69a24ad678ffce24c6543a0176b00
shapemapper_make	bbmap	37.78	0	UC-LBL license (see package)	https://conda.anaconda.org/bioconda/linux-64/bbmap-37.78-0.tar.bz2	dd8dcf31f2fdffd22a79583d4ba56f7da21beb20282118fb8750402f4d4e23a2	2919730c7b79fc89b2cdd13742af32bc
shapemapper_make	binutils	2.39	hdd6e379_1	GPL-3.0-only	https://conda.anaconda.org/conda-forge/linux-64/binutils-2.39-hdd6e379_1.conda	8edbd5a01feaf22053d7c02e7d5066a3b35b265deee0a5ad3f69054289bbbd7e	1276c18b0a562739185dbf5bd14b57b2
shapemapper_make	binutils_impl_linux-64	2.39	he00db2b_1	GPL-3.0-only	https://conda.anaconda.org/conda-forge/linux-64/binutils_impl_linux-64-2.39-he00db2b_1.conda	69a7c32141475dab43de2f19b7a67c14596cbb357cdb5891ff866918f8f65a2e	3d726e8b51a1f5bfd66892a2b7d9db2d
shapemapper_make	binutils_linux-64	2.39	h5fc0e48_11	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/binutils_linux-64-2.39-h5fc0e48_11.tar.bz2	acf554585c011689ce6c58472200545c9512dce1b9dfc5e853f25771c0c3e12e	b7d26ab37be17ea4c366a97138684bcb
shapemapper_make	boost-cpp	1.81.0	he95ae9e_0	BSL-1.0	https://conda.anaconda.org/conda-forge/linux-64/boost-cpp-1.81.0-he95ae9e_0.conda	2cf655a3544f84dd5156fbce861f02011c2cae761f8cbd428c589b8c74243958	bbd81de5abcf7434074f37cb5fe0eaa3
shapemapper_make	brotli	1.0.9	h166bdaf_8	MIT	https://conda.anaconda.org/conda-forge/linux-64/brotli-1.0.9-h166bdaf_8.tar.bz2	74c0fa22ea7c62d2c8f7a7aea03a3bd4919f7f3940ef5b027ce0dfb5feb38c06	2ff08978892a3e8b954397c461f18418
shapemapper_make	brotli-bin	1.0.9	h166bdaf_8	MIT	https://conda.anaconda.org/conda-forge/linux-64/brotli-bin-1.0.9-h166bdaf_8.tar.bz2	ab1994e03bdd88e4b27f9f802ac18e45ed29b92cce25e1fd86da43b89734950f	e5613f2bc717e9945840ff474419b8e4
shapemapper_make	bzip2	1.0.8	h7f98852_4	bzip2-1.0.6	https://conda.anaconda.org/conda-forge/linux-64/bzip2-1.0.8-h7f98852_4.tar.bz2	cb521319804640ff2ad6a9f118d972ed76d86bea44e5626c09a13d38f562e1fa	a1fd65c7ccbf10880423d82bca54eb54
shapemapper_make	c-ares	1.18.1	h7f98852_0	MIT	https://conda.anaconda.org/conda-forge/linux-64/c-ares-1.18.1-h7f98852_0.tar.bz2	ee735e60d2cf68e5635df17847e97b505a752985d10581d2438203e7c0f44c15	f26ef8098fab1f719c91eb760d63381a
shapemapper_make	c-compiler	1.5.2	h0b41bf4_0	BSD	https://conda.anaconda.org/conda-forge/linux-64/c-compiler-1.5.2-h0b41bf4_0.conda	fe4c0080648c3448939919ddc49339cd8e250124b69a518e66ef6989794fa58a	69afb4e35be6366c2c1f9ed7f49bc3e6
shapemapper_make	ca-certificates	2022.12.7	ha878542_0	ISC	https://conda.anaconda.org/conda-forge/linux-64/ca-certificates-2022.12.7-ha878542_0.conda	8f6c81b0637771ae0ea73dc03a6d30bec3326ba3927f2a7b91931aa2d59b1789	ff9f73d45c4a07d6f424495288a26080
shapemapper_make	cairo	1.16.0	ha61ee94_1014	LGPL-2.1-only or MPL-1.1	https://conda.anaconda.org/conda-forge/linux-64/cairo-1.16.0-ha61ee94_1014.tar.bz2	f062cf56e6e50d3ad4b425ebb3765ca9138c6ebc52e6a42d1377de8bc8d954f6	d1a88f3ed5b52e1024b80d4bcd26a7a0
shapemapper_make	cmake	3.25.2	h077f3f9_0	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/cmake-3.25.2-h077f3f9_0.conda	439297a5bbfd6d1bab577544f9dc7737630237b82bbc8c9ee98f8a34bf286654	e0ce22752cbd71a6b32b23d96b787e42
shapemapper_make	contourpy	1.0.7	py39h4b4f3f3_0	BSD-3-Clause	https://conda.anaconda.org/conda-forge/linux-64/contourpy-1.0.7-py39h4b4f3f3_0.conda	74a767b73686caf0bb1d1186cd62a54f01e03ad5432eaaf0a7babad7634c4067	c5387f3fb1f5b8b71e1c865fc55f4951
shapemapper_make	cxx-compiler	1.5.2	hf52228f_0	BSD	https://conda.anaconda.org/conda-forge/linux-64/cxx-compiler-1.5.2-hf52228f_0.conda	c6916082ea28b905dd59d4b6b5b07be413a3a5a814193df43c28101e4d29a7fc	6b3b19e359824b97df7145c8c878c8be
shapemapper_make	cycler	0.11.0	pyhd8ed1ab_0	BSD-3-Clause	https://conda.anaconda.org/conda-forge/noarch/cycler-0.11.0-pyhd8ed1ab_0.tar.bz2	3b594bc8aa0b9a51269d54c7a4ef6af777d7fad4bee16b05695e1124de6563f6	a50559fad0affdbb33729a68669ca1cb
shapemapper_make	dbus	1.13.6	h5008d03_3	GPL-2.0-or-later	https://conda.anaconda.org/conda-forge/linux-64/dbus-1.13.6-h5008d03_3.tar.bz2	8f5f995699a2d9dbdd62c61385bfeeb57c82a681a7c8c5313c395aa0ccab68a5	ecfff944ba3960ecb334b9a2663d708d
shapemapper_make	expat	2.5.0	h27087fc_0	MIT	https://conda.anaconda.org/conda-forge/linux-64/expat-2.5.0-h27087fc_0.tar.bz2	b44db0b92ae926b3fbbcd57c179fceb64fa11a9f9d09082e03be58b74dcad832	c4fbad8d4bddeb3c085f18cbf97fbfad
shapemapper_make	fftw	3.3.10	nompi_hf0379b8_106	GPL-2.0-or-later	https://conda.anaconda.org/conda-forge/linux-64/fftw-3.3.10-nompi_hf0379b8_106.conda	8b735848df623fab555a6d7fc400636116d6ed5686ae0e50adb7df4c1c3a9cef	d7407e695358f068a2a7f8295cde0567
shapemapper_make	font-ttf-dejavu-sans-mono	2.37	hab24e00_0	BSD-3-Clause	https://conda.anaconda.org/conda-forge/noarch/font-ttf-dejavu-sans-mono-2.37-hab24e00_0.tar.bz2	58d7f40d2940dd0a8aa28651239adbf5613254df0f75789919c4e6762054403b	0c96522c6bdaed4b1566d11387caaf45
shapemapper_make	font-ttf-inconsolata	3.000	h77eed37_0	OFL-1.1	https://conda.anaconda.org/conda-forge/noarch/font-ttf-inconsolata-3.000-h77eed37_0.tar.bz2	c52a29fdac682c20d252facc50f01e7c2e7ceac52aa9817aaf0bb83f7559ec5c	34893075a5c9e55cdafac56607368fc6
shapemapper_make	font-ttf-source-code-pro	2.038	h77eed37_0	OFL-1.1	https://conda.anaconda.org/conda-forge/noarch/font-ttf-source-code-pro-2.038-h77eed37_0.tar.bz2	00925c8c055a2275614b4d983e1df637245e19058d79fc7dd1a93b8d9fb4b139	4d59c254e01d9cde7957100457e2d5fb
shapemapper_make	font-ttf-ubuntu	0.83	hab24e00_0	Ubuntu Font Licence Version 1.0	https://conda.anaconda.org/conda-forge/noarch/font-ttf-ubuntu-0.83-hab24e00_0.tar.bz2	470d5db54102bd51dbb0c5990324a2f4a0bc976faa493b22193338adb9882e2e	19410c3df09dfb12d1206132a1d357c5
shapemapper_make	fontconfig	2.14.2	h14ed4e7_0	MIT	https://conda.anaconda.org/conda-forge/linux-64/fontconfig-2.14.2-h14ed4e7_0.conda	155d534c9037347ea7439a2c6da7c24ffec8e5dd278889b4c57274a1d91e0a83	0f69b688f52ff6da70bccb7ff7001d1d
shapemapper_make	fonts-conda-ecosystem	1	0	BSD-3-Clause	https://conda.anaconda.org/conda-forge/noarch/fonts-conda-ecosystem-1-0.tar.bz2	a997f2f1921bb9c9d76e6fa2f6b408b7fa549edd349a77639c9fe7a23ea93e61	fee5683a3f04bd15cbd8318b096a27ab
shapemapper_make	fonts-conda-forge	1	0	BSD-3-Clause	https://conda.anaconda.org/conda-forge/noarch/fonts-conda-forge-1-0.tar.bz2	53f23a3319466053818540bcdf2091f253cbdbab1e0e9ae7b9e509dcaa2a5e38	f766549260d6815b0c52253f1fb1bb29
shapemapper_make	fonttools	4.39.0	py39h72bdee0_0	MIT	https://conda.anaconda.org/conda-forge/linux-64/fonttools-4.39.0-py39h72bdee0_0.conda	cd5bce3af985c9ada2d9cc1c42f5c6f135fabbb56c2917fc7c9f5ecf27f3cff0	7ed17a60087175112fbbf5882bebddc2
shapemapper_make	freetype	2.12.1	hca18f0e_1	GPL-2.0-only and LicenseRef-FreeType	https://conda.anaconda.org/conda-forge/linux-64/freetype-2.12.1-hca18f0e_1.conda	1eb913727b54e9aa63c6d9a1177db4e2894cee97c5f26910a2b61899d5ac904f	e1232042de76d24539a436d37597eb06
