time,peak_integral
197,19197
289,13707.7
381,9677.71
473,6932.41
565,5012.03
656,3537.77
748,2499.47
840,1808.4
932,1354.44
1024,964.116
1115,639.861
1207,457.082
1299,348.194
1391,227.292
1483,198.481
1575,129.312
1666,81.4764
1758,38.344
1850,45.1063
1942,24.9865
